rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1925,k3852
38,athen (18),,,,,,,,,,,,,,,,,,,,,,,shakespeare,,,,,,etextes,,ende,,enden,gewognen,,verheißt,,verschmähn,schlangenzischen,,hirnes,gewognen,beßres,dichten,schier,,übersetzt,liebe,projekt,shakespeare,herrn,geschieht,träume,heißen,dämmerung,glücksgenoß,herrn,durchs,schlegel,william,,zimmer,liebe,,genung,bald,paare,glücksgenoß,träume,sehn,leere,heilgen,shakespeare,muttermal,weiht,zeichen,ende,singt,singt,projekt,singt,singt,schelm,bergomasker,enden,singt,singt,spiel,schlegel,geschlecht,gefolge,singt,singt,sieht,geister,spiel,ach,hand,leise,augen,herr
39,egeus (18),,,,,,,,,,,,,,,,,,,,,,,übersetzt,,,,,,sommernachtstraum,,projekt,,begrüßt,händen,,ehre,,sollt,unverdienterweis,,dichten,händen,sehn,wollt,habet,,august,herrn,gutenberg,übersetzt,gar,billig,schwand,willig,gefolge,genung,gar,ganze,,shakespeare,,saal,herrn,,fort,unsres,ewiglich,genung,schwand,bösem,träume,wiesentaus,übersetzt,hasenschart,segnet,schlimmer,projekt,heil,brautbett,gutenberg,brautbett,besten,heißen,epilog,begrüßt,immerfort,gesegnet,enden,,segnet,wohl,treu,treu,geister,leise,prolog,herz,singt,hand,herr,egeus
40,herr (18),,,,,,,,,,,,,,,,,,,,,,,august,,,,,,william,,gutenberg,,gewognen,ende,,droll,,beßres,entwischen,,wollt,ende,bösem,kindertand,geschlummert,,wilhelm,gar,etextes,august,verschmähn,gute,liebe,geschieht,schatten,fort,verschmähn,tropfen,,übersetzt,,weiht,gar,,sprung,dankes,lieben,fort,liebe,schlangenzischen,schwand,zimmer,august,himmels,allzumal,art,gutenberg,gewinn,heil,etextes,heil,brautbett,willig,bett,gewognen,paare,immerfort,begrüßt,,herr,bald,geschlecht,geschlecht,leise,hand,klugheit,ade,treu,singt,egeus,athen
41,weiß (18),,,,,,,,,,,,,,,,,,,,,,,wilhelm,,,,,,shakespeare,,etextes,,händen,projekt,,unsres,,sehn,verheißt,,kindertand,projekt,schlangenzischen,leere,geschaut,,schlegel,verschmähn,sommernachtstraum,wilhelm,sollt,spiel,herrn,billig,beleidigt,sprung,sollt,heilgen,,august,,segnet,verschmähn,,trefft,zoll,treu,sprung,herrn,unverdienterweis,liebe,saal,wilhelm,zorn,friede,muttermal,etextes,entsprossen,gewinn,sommernachtstraum,gewinn,heil,geschieht,sieht,händen,ewiglich,paare,gewognen,,gefolge,zoll,tropfen,segnet,hand,singt,sagen,bergomasker,geschlecht,treu,athen,tot
42,kind (17),,,,,,,,,,,,,,,,,,,,,,,schlegel,,,,,,übersetzt,,sommernachtstraum,,ende,gutenberg,,dankes,,bösem,ehre,,leere,gutenberg,unverdienterweis,träume,nachtgesichten,,,sollt,william,schlegel,beßres,enden,gar,gute,glaubt,trefft,beßres,wiesentaus,,wilhelm,,allzumal,sollt,,dämmerung,schelm,geschlecht,trefft,gar,entwischen,herrn,weiht,schlegel,nie,schloß,hasenschart,sommernachtstraum,gesegnet,entsprossen,william,entsprossen,gewinn,billig,geister,ende,lieben,ewiglich,händen,,wohl,schelm,heilgen,herr,singt,treu,jammer,epilog,segnet,geschlecht,mondschein,weiß
43,treu (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,,william,,projekt,etextes,,zoll,,schlangenzischen,droll,,träume,etextes,entwischen,schwand,eignen,,,beßres,shakespeare,,sehn,begrüßt,verschmähn,spiel,wohl,dämmerung,sehn,zimmer,,schlegel,,friede,beßres,,gefolge,heißen,nimmer,dämmerung,verschmähn,verheißt,gar,segnet,,kind,herr,himmels,william,immerfort,gesegnet,shakespeare,gesegnet,entsprossen,gute,stellt,projekt,treu,lieben,ende,,nachtgesichten,heißen,wiesentaus,gefolge,gesegnet,geschlecht,schon,bett,herr,segnet,weiß,treu
44,komm (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilhelm,,shakespeare,,gutenberg,sommernachtstraum,,schelm,,unverdienterweis,unsres,,schwand,sommernachtstraum,verheißt,liebe,hirnes,,,sehn,übersetzt,,bösem,gewognen,sollt,enden,verteidigt,gefolge,bösem,saal,,,,schloß,sehn,,schatten,willig,schänden,gefolge,sollt,ehre,verschmähn,allzumal,,geborn.,glücksgenoß,zorn,shakespeare,paare,immerfort,übersetzt,immerfort,gesegnet,spiel,tanzet,gutenberg,geschlecht,treu,projekt,,eignen,willig,zimmer,wohl,immerfort,zimmer,ach,sieht,gefolge,herr,treu,lieber
45,lieber (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,schlegel,,übersetzt,,etextes,william,,heißen,,entwischen,dankes,,liebe,william,ehre,herrn,dichten,,,bösem,august,,schlangenzischen,händen,beßres,begrüßt,schier,schatten,schlangenzischen,weiht,,,,herr,bösem,,beleidigt,geschieht,natur,schatten,beßres,unsres,sollt,friede,,sprengt,genung,nie,übersetzt,ewiglich,paare,august,paare,immerfort,enden,bunten,etextes,nimmer,geschlecht,gutenberg,,hirnes,geschieht,saal,leere,paare,saal,herz,geister,wohl,gefolge,lieber,komm
46,gleich (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,,sommernachtstraum,shakespeare,,willig,,verheißt,zoll,,herrn,shakespeare,droll,gar,wollt,,,schlangenzischen,wilhelm,,unverdienterweis,ende,sehn,gewognen,habet,beleidigt,unverdienterweis,segnet,,,,glücksgenoß,schlangenzischen,,glaubt,billig,feindeshänden,beleidigt,sehn,dankes,beßres,schloß,,durchs,fort,kind,august,lieben,ewiglich,wilhelm,ewiglich,paare,begrüßt,zimmern,sommernachtstraum,schänden,nimmer,etextes,,dichten,billig,weiht,träume,ewiglich,weiht,wahrhaftig,leise,bald,wohl,komm,kind
47,macht (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilhelm,,william,übersetzt,,geschieht,,ehre,schelm,,gar,übersetzt,unsres,verschmähn,kindertand,,,unverdienterweis,schlegel,,entwischen,projekt,bösem,händen,geschlummert,glaubt,entwischen,allzumal,,,,genung,unverdienterweis,,wohl,gute,zeichen,glaubt,bösem,zoll,sehn,herr,,ganze,sprung,geborn.,wilhelm,treu,lieben,schlegel,lieben,ewiglich,gewognen,leichten,william,natur,schänden,sommernachtstraum,,wollt,gute,segnet,schwand,lieben,segnet,bergomasker,hand,schelm,bald,kind,mondschein
48,kommen (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schlegel,,shakespeare,august,,billig,,droll,heißen,,verschmähn,august,dankes,sollt,leere,,,entwischen,,,verheißt,gutenberg,schlangenzischen,ende,geschaut,wohl,verheißt,friede,,,,fort,entwischen,,verteidigt,spiel,schlimmer,wohl,schlangenzischen,schelm,bösem,glücksgenoß,,tropfen,trefft,sprengt,schlegel,nimmer,treu,,treu,lieben,händen,ringelreihn,shakespeare,feindeshänden,natur,william,,kindertand,spiel,allzumal,liebe,treu,allzumal,bett,singt,heißen,dankes,macht,macht
49,zwei (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,übersetzt,wilhelm,,gute,,unsres,willig,,sollt,wilhelm,zoll,beßres,träume,,,verheißt,,,ehre,etextes,unverdienterweis,projekt,nachtgesichten,verteidigt,ehre,schloß,,,,sprung,verheißt,,schier,enden,art,verteidigt,unverdienterweis,heißen,schlangenzischen,genung,,heilgen,dämmerung,durchs,,schänden,nimmer,,nimmer,treu,ende,lieder,übersetzt,zeichen,feindeshänden,shakespeare,,leere,enden,friede,herrn,geschlecht,friede,sieht,ort,willig,zoll,kommen,kommen
50,flaut (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,schlegel,,nacht,,dankes,geschieht,,beßres,schlegel,schelm,sehn,schwand,,,ehre,,,droll,sommernachtstraum,entwischen,gutenberg,eignen,schier,droll,herr,,,,trefft,ehre,,habet,begrüßt,muttermal,schier,entwischen,willig,unverdienterweis,fort,,wiesentaus,gefolge,ganze,,natur,schänden,,schänden,nimmer,projekt,weise,august,schlimmer,zeichen,übersetzt,,träume,begrüßt,schloß,gar,nimmer,schloß,geister,gesang,geschieht,schelm,zwei,zwei
51,mondschein (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilhelm,,,spiel,,zoll,billig,,sehn,,heißen,bösem,liebe,,,droll,,,unsres,william,verheißt,etextes,hirnes,habet,unsres,glücksgenoß,,,,dämmerung,droll,,geschlummert,gewognen,hasenschart,habet,verheißt,geschieht,entwischen,sprung,,zimmer,schatten,tropfen,,feindeshänden,natur,,natur,schänden,gutenberg,singet,wilhelm,art,schlimmer,august,,schwand,gewognen,herr,verschmähn,schänden,herr,lieder,tages,billig,heißen,gleich,gleich
52,wald (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schlegel,,,enden,,schelm,gute,,bösem,,willig,schlangenzischen,herrn,,,unsres,,,dankes,shakespeare,ehre,sommernachtstraum,dichten,geschlummert,dankes,genung,,,,gefolge,unsres,,geschaut,händen,himmels,geschlummert,ehre,billig,verheißt,trefft,,saal,beleidigt,heilgen,,zeichen,feindeshänden,,feindeshänden,natur,etextes,hüpfet,schlegel,muttermal,art,wilhelm,,liebe,händen,glücksgenoß,sollt,natur,glücksgenoß,weise,wiederkehr,gute,willig,spiel,wald
53,liebt (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,begrüßt,,heißen,nacht,,schlangenzischen,,geschieht,unverdienterweis,gar,,,dankes,,,zoll,übersetzt,droll,william,wollt,geschaut,zoll,fort,,,,schatten,dankes,,nachtgesichten,ende,zorn,geschaut,droll,gute,ehre,dämmerung,,weiht,glaubt,wiesentaus,,schlimmer,zeichen,,zeichen,feindeshänden,sommernachtstraum,wirbelt,,hasenschart,muttermal,schlegel,,herrn,ende,genung,beßres,feindeshänden,genung,singet,schwärmt,spiel,geschieht,musje,flaut
54,geht (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gewognen,,willig,spiel,,unverdienterweis,,billig,entwischen,verschmähn,,,zoll,,,schelm,august,unsres,shakespeare,kindertand,nachtgesichten,schelm,sprung,,,,beleidigt,zoll,,eignen,projekt,nie,nachtgesichten,unsres,spiel,unsres,gefolge,,segnet,wohl,zimmer,,art,schlimmer,,schlimmer,zeichen,william,zarter,,himmels,hasenschart,,,gar,projekt,fort,sehn,zeichen,fort,hüpfet,umher,enden,billig,wald,geht
55,schön (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,händen,,geschieht,enden,,entwischen,,gute,verheißt,sollt,,,schelm,,,heißen,wilhelm,dankes,übersetzt,leere,eignen,heißen,trefft,,,,glaubt,schelm,,hirnes,gutenberg,kind,eignen,dankes,enden,dankes,schatten,,allzumal,verteidigt,saal,,muttermal,art,,art,schlimmer,shakespeare,kunst,,zorn,himmels,,,verschmähn,gutenberg,sprung,bösem,schlimmer,sprung,wirbelt,besten,begrüßt,gute,flaut,liebt
56,wollt (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ende,,billig,begrüßt,,verheißt,,nacht,ehre,beßres,,,heißen,,,willig,schlegel,zoll,august,träume,hirnes,willig,dämmerung,,,,wohl,heißen,,dichten,etextes,geborn.,hirnes,zoll,begrüßt,zoll,beleidigt,,friede,schier,weiht,,hasenschart,muttermal,,muttermal,art,übersetzt,not,,nie,zorn,,,sollt,etextes,trefft,schlangenzischen,art,trefft,zarter,brautbett,gewognen,enden,philostrat,schön
57,stück (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,projekt,,gute,gewognen,,ehre,,spiel,unsres,sehn,,,willig,,,geschieht,,schelm,wilhelm,schwand,dichten,geschieht,gefolge,,,,verteidigt,willig,,wollt,sommernachtstraum,sprengt,dichten,schelm,gewognen,schelm,glaubt,,schloß,habet,segnet,,himmels,hasenschart,,hasenschart,muttermal,august,wort,,kind,nie,,,beßres,sommernachtstraum,dämmerung,unverdienterweis,muttermal,dämmerung,kunst,heil,händen,begrüßt,geht,stück
58,tot (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gutenberg,,nacht,händen,,unsres,,enden,dankes,bösem,,,geschieht,,,billig,,heißen,schlegel,liebe,wollt,billig,schatten,,,,schier,geschieht,,kindertand,william,durchs,wollt,heißen,händen,heißen,wohl,,herr,geschlummert,allzumal,,zorn,himmels,,himmels,hasenschart,wilhelm,feengunst,,geborn.,kind,,,sehn,william,gefolge,entwischen,hasenschart,gefolge,not,gewinn,ende,gewognen,liebt,wollt
59,philostrat (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etextes,,spiel,ende,,dankes,,begrüßt,zoll,schlangenzischen,,,billig,,,gute,,willig,,herrn,kindertand,gute,beleidigt,,,,habet,billig,,leere,shakespeare,ganze,kindertand,willig,ende,willig,verteidigt,,glücksgenoß,geschaut,friede,,nie,zorn,,zorn,himmels,schlegel,ort,,sprengt,geborn.,,,bösem,shakespeare,schatten,verheißt,himmels,schatten,wort,entsprossen,projekt,händen,schön,spiel
60,schnauz (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sommernachtstraum,,enden,projekt,,zoll,,gewognen,schelm,unverdienterweis,,,gute,,,spiel,,geschieht,,gar,leere,spiel,glaubt,,,,geschlummert,gute,,träume,übersetzt,tropfen,leere,geschieht,projekt,geschieht,schier,,genung,nachtgesichten,schloß,,kind,nie,,nie,zorn,,gesang,,durchs,sprengt,,,schlangenzischen,übersetzt,beleidigt,ehre,zorn,beleidigt,feengunst,gesegnet,gutenberg,ende,stück,musje
61,treten (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,william,,begrüßt,gutenberg,,schelm,,händen,heißen,entwischen,,,spiel,,,enden,,billig,,verschmähn,träume,enden,wohl,,,,geschaut,spiel,,schwand,august,heilgen,träume,billig,gutenberg,billig,habet,,fort,eignen,herr,,geborn.,kind,,kind,nie,,tages,,ganze,durchs,,,unverdienterweis,august,glaubt,unsres,nie,glaubt,ort,immerfort,etextes,projekt,wollt,philostrat
62,fürst (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shakespeare,,gewognen,etextes,,heißen,,ende,willig,verheißt,,,enden,,,begrüßt,,gute,,sollt,schwand,begrüßt,verteidigt,,,,nachtgesichten,enden,,liebe,wilhelm,wiesentaus,schwand,gute,etextes,gute,geschlummert,,sprung,hirnes,glücksgenoß,,sprengt,geborn.,,geborn.,kind,,wiederkehr,,tropfen,ganze,,,entwischen,wilhelm,wohl,dankes,kind,wohl,gesang,paare,sommernachtstraum,gutenberg,müßt,müßt
63,müßt (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,übersetzt,,händen,sommernachtstraum,,willig,,projekt,geschieht,ehre,,,begrüßt,,,gewognen,,spiel,,beßres,liebe,gewognen,schier,,,,eignen,begrüßt,,herrn,schlegel,zimmer,liebe,spiel,sommernachtstraum,spiel,geschaut,,trefft,dichten,genung,,durchs,sprengt,,sprengt,geborn.,,schwärmt,,heilgen,tropfen,,,verheißt,schlegel,verteidigt,zoll,geborn.,verteidigt,tages,ewiglich,william,etextes,laß,laß
64,laß (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,,ende,william,,geschieht,,gutenberg,billig,unsres,,,gewognen,,,händen,,enden,,sehn,herrn,händen,habet,,,,hirnes,gewognen,,gar,,saal,herrn,enden,william,enden,nachtgesichten,,dämmerung,wollt,fort,,ganze,durchs,,durchs,sprengt,,umher,,wiesentaus,heilgen,,,ehre,,schier,schelm,sprengt,schier,wiederkehr,lieben,shakespeare,sommernachtstraum,fürst,fürst
65,spiel (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilhelm,,projekt,shakespeare,,billig,,etextes,gute,dankes,,,händen,,,ende,,begrüßt,,bösem,gar,ende,geschlummert,,,,dichten,händen,,verschmähn,,weiht,gar,begrüßt,shakespeare,begrüßt,eignen,,gefolge,kindertand,sprung,,tropfen,ganze,,ganze,durchs,,besten,,zimmer,wiesentaus,,,unsres,,habet,heißen,durchs,habet,schwärmt,treu,übersetzt,william,schnauz,schnauz
66,musje (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schlegel,,gutenberg,übersetzt,,gute,,sommernachtstraum,nacht,zoll,,,ende,,,projekt,,gewognen,,schlangenzischen,verschmähn,projekt,geschaut,,,,wollt,ende,,sollt,,segnet,verschmähn,gewognen,übersetzt,gewognen,hirnes,,schatten,leere,trefft,,heilgen,tropfen,,tropfen,ganze,,brautbett,,saal,zimmer,,,dankes,,geschlummert,willig,ganze,geschlummert,umher,nimmer,august,shakespeare,treten,treten
67,gefolge (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etextes,august,,nacht,,william,spiel,schelm,,,projekt,,,gutenberg,,händen,,unverdienterweis,sollt,gutenberg,nachtgesichten,,,,kindertand,projekt,,beßres,,allzumal,sollt,händen,august,händen,dichten,,beleidigt,träume,dämmerung,,wiesentaus,heilgen,,heilgen,tropfen,,heil,,weiht,saal,,,zoll,,geschaut,geschieht,tropfen,geschaut,besten,schänden,wilhelm,übersetzt,hand,hand
68,hand (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sommernachtstraum,wilhelm,,spiel,,shakespeare,enden,heißen,,,gutenberg,,,etextes,,ende,,entwischen,beßres,etextes,eignen,,,,leere,gutenberg,,sehn,,friede,beßres,ende,wilhelm,ende,wollt,,glaubt,schwand,gefolge,,zimmer,wiesentaus,,wiesentaus,heilgen,,gewinn,,segnet,weiht,,,schelm,,nachtgesichten,billig,heilgen,nachtgesichten,brautbett,natur,schlegel,august,gefolge,gefolge
69,tod (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,william,schlegel,,enden,,übersetzt,begrüßt,willig,,,etextes,,,sommernachtstraum,,projekt,,verheißt,sehn,sommernachtstraum,hirnes,,,,träume,etextes,,bösem,,schloß,sehn,projekt,schlegel,projekt,kindertand,,wohl,liebe,schatten,,saal,zimmer,,zimmer,wiesentaus,,entsprossen,,allzumal,segnet,,,heißen,,eignen,gute,wiesentaus,eignen,heil,feindeshänden,,wilhelm,bald,bald
70,ganz (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shakespeare,,,begrüßt,,august,gewognen,geschieht,,,sommernachtstraum,,,william,,gutenberg,,ehre,bösem,william,dichten,,,,schwand,sommernachtstraum,,schlangenzischen,,herr,bösem,gutenberg,,gutenberg,leere,,verteidigt,herrn,beleidigt,,weiht,saal,,saal,zimmer,,gesegnet,,friede,allzumal,,,willig,,hirnes,enden,zimmer,hirnes,gewinn,zeichen,,schlegel,schlaf,schlaf
71,bald (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,übersetzt,,,gewognen,,wilhelm,händen,billig,,,william,,,shakespeare,,etextes,,unsres,schlangenzischen,shakespeare,wollt,,,,liebe,william,,unverdienterweis,,glücksgenoß,schlangenzischen,etextes,,etextes,träume,,schier,gar,glaubt,,segnet,weiht,,weiht,saal,,immerfort,,schloß,friede,,,geschieht,,dichten,begrüßt,saal,dichten,entsprossen,schlimmer,,,ganz,ganz
72,wär (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,,,händen,,schlegel,ende,gute,,,shakespeare,,,übersetzt,,sommernachtstraum,,dankes,unverdienterweis,übersetzt,kindertand,,,,herrn,shakespeare,,entwischen,,genung,unverdienterweis,sommernachtstraum,,sommernachtstraum,schwand,,habet,verschmähn,wohl,,allzumal,segnet,,segnet,weiht,,paare,,herr,schloß,,,billig,,wollt,gewognen,weiht,wollt,gesegnet,art,,,tod,tod
73,schlaf (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilhelm,,,ende,,,projekt,nacht,,,übersetzt,,,august,,william,,zoll,entwischen,august,leere,,,,gar,übersetzt,,verheißt,,fort,entwischen,william,,william,liebe,,geschlummert,sollt,verteidigt,,friede,allzumal,,allzumal,segnet,,ewiglich,,glücksgenoß,herr,,,gute,,kindertand,händen,segnet,kindertand,immerfort,muttermal,,,wär,wär
74,szene (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schlegel,,,projekt,,,gutenberg,spiel,,,august,,,wilhelm,,shakespeare,,schelm,verheißt,wilhelm,träume,,,,verschmähn,august,,ehre,,sprung,verheißt,shakespeare,,shakespeare,herrn,,geschaut,beßres,schier,,schloß,friede,,friede,allzumal,,lieben,,genung,glücksgenoß,,,enden,,leere,ende,allzumal,leere,paare,hasenschart,,,spielen,spielen
75,spielen (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gutenberg,,,etextes,enden,,,wilhelm,,,schlegel,,übersetzt,,heißen,ehre,schlegel,schwand,,,,sollt,wilhelm,,unsres,,trefft,ehre,übersetzt,,übersetzt,gar,,nachtgesichten,sehn,habet,,herr,schloß,,schloß,friede,,treu,,fort,genung,,,begrüßt,,träume,projekt,friede,träume,ewiglich,himmels,,,seid,seid
76,wort (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,etextes,,,sommernachtstraum,begrüßt,,,schlegel,,,,,august,,willig,unsres,,liebe,,,,beßres,schlegel,,dankes,,dämmerung,unsres,august,,august,verschmähn,,eignen,bösem,geschlummert,,glücksgenoß,herr,,herr,schloß,,nimmer,,sprung,fort,,,gewognen,,schwand,gutenberg,schloß,schwand,lieben,zorn,,,szene,szene
77,seid (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sommernachtstraum,,,william,gewognen,,,,,,,,wilhelm,,geschieht,dankes,,herrn,,,,sehn,,,zoll,,gefolge,dankes,wilhelm,,wilhelm,sollt,,hirnes,schlangenzischen,geschaut,,genung,glücksgenoß,,glücksgenoß,herr,,schänden,,trefft,sprung,,,händen,,liebe,etextes,herr,liebe,treu,nie,,,zurück,zurück
78,auge (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,william,,,shakespeare,händen,,,,,,,,schlegel,,billig,zoll,,gar,,,,bösem,,,schelm,,schatten,zoll,schlegel,,schlegel,beßres,,dichten,unverdienterweis,nachtgesichten,,fort,genung,,genung,glücksgenoß,,natur,,dämmerung,trefft,,,ende,,herrn,sommernachtstraum,glücksgenoß,herrn,nimmer,kind,,,reden,reden
79,sehn (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shakespeare,,,übersetzt,ende,,,,,,,,,,gute,schelm,,verschmähn,,,,schlangenzischen,,,heißen,,beleidigt,schelm,,,,sehn,,wollt,entwischen,eignen,,sprung,fort,,fort,genung,,feindeshänden,,gefolge,dämmerung,,,projekt,,gar,william,genung,gar,schänden,geborn.,,,warum,warum
80,schöne (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,übersetzt,,,august,projekt,,,,,,,,,,spiel,heißen,,sollt,,,,unverdienterweis,,,willig,,glaubt,heißen,,,,bösem,,kindertand,verheißt,hirnes,,trefft,sprung,,sprung,fort,,zeichen,,schatten,gefolge,,,gutenberg,,verschmähn,shakespeare,fort,verschmähn,natur,sprengt,,,auge,auge
81,reden (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,,,wilhelm,gutenberg,,,,,,,,,,enden,willig,,beßres,,,,entwischen,,,geschieht,,wohl,willig,,,,schlangenzischen,,leere,ehre,dichten,,dämmerung,trefft,,trefft,sprung,,schlimmer,,beleidigt,schatten,,,etextes,,sollt,übersetzt,sprung,sollt,feindeshänden,durchs,,,schöne,schöne
82,warum (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wilhelm,,,schlegel,etextes,,,,,,,,,,begrüßt,geschieht,,sehn,,,,verheißt,,,billig,,verteidigt,geschieht,,,,unverdienterweis,,träume,unsres,wollt,,gefolge,dämmerung,,dämmerung,trefft,,art,,glaubt,beleidigt,,,sommernachtstraum,,beßres,august,trefft,beßres,zeichen,ganze,,,wort,wort
83,zurück (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schlegel,,,,sommernachtstraum,,,,,,,,,,gewognen,billig,,bösem,,,,ehre,,,gute,,schier,billig,,,,entwischen,,schwand,dankes,kindertand,,schatten,gefolge,,gefolge,dämmerung,,muttermal,,wohl,glaubt,,,william,,sehn,wilhelm,dämmerung,sehn,schlimmer,tropfen,,,sehn,sehn
84,schnock (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,william,,,,,,,,,,händen,gute,,schlangenzischen,,,,unsres,,,spiel,,habet,gute,,,,verheißt,,liebe,zoll,leere,,beleidigt,schatten,,schatten,gefolge,,hasenschart,,verteidigt,wohl,,,shakespeare,,bösem,schlegel,gefolge,bösem,art,heilgen,,,könnt,könnt
85,schlucker (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shakespeare,,,,,,,,,,ende,spiel,,unverdienterweis,,,,dankes,,,enden,,geschlummert,spiel,,,,ehre,,herrn,schelm,träume,,glaubt,beleidigt,,beleidigt,schatten,,himmels,,schier,verteidigt,,,übersetzt,,schlangenzischen,,schatten,schlangenzischen,muttermal,wiesentaus,,,leben,leben
86,zeit (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,übersetzt,,,,,,,,,,projekt,enden,,entwischen,,,,zoll,,,begrüßt,,geschaut,enden,,,,unsres,,gar,heißen,schwand,,wohl,glaubt,,glaubt,beleidigt,,zorn,,habet,schier,,,august,,unverdienterweis,,beleidigt,unverdienterweis,hasenschart,zimmer,,,geh,geh
87,himmel (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,august,,,,,,,,,,gutenberg,begrüßt,,verheißt,,,,schelm,,,gewognen,,nachtgesichten,begrüßt,,,,dankes,,verschmähn,willig,liebe,,verteidigt,wohl,,wohl,glaubt,,nie,,geschlummert,habet,,,wilhelm,,entwischen,,glaubt,entwischen,himmels,saal,,,schlucker,schlucker
