rank,exact,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1441,k2884
49,like (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,ere,,,,,robin,liar,mend,,honest,theme,hands,unearnèd,honest,friends,,theme,call,,give,shadows,unearnèd,weak,good,honest,friends,stay,bless,train._,hands,rest,loving,best,dance,sing,couples,never,despised,consecrate,issue,sing,adieu,bless,discretion,sprite,sprite,adieu,every,amends,make,sing,discretion,adieu,bless,eyes,eyes,issue,tongue,sing,discretion,tongue,adieu,eyes,never,never,prologue,prologue,ever,wood,like
50,say (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long,,,,,restore,call,honest,,unearnèd,yielding,friends,luck,unearnèd,robin,,yielding,good,,hands,offended,luck,idle,night,unearnèd,robin,meet,palace,shadows,friends,trip,blots,bride-bed,sing,best,three,mole,nativity,take,mark,fortunate,epilogue,stay,gone,light,light,epilogue,bless,discretion,amends,issue,gone,would,break,adieu,adieu,every,make,house,speak,make,would,adieu,every,every,discretion,discretion,tongue,say,say
51,true (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,else,,,,,,good,unearnèd,,luck,dream,robin,scape,luck,restore,,dream,night,,friends,think,scape,theme,unto,luck,restore,break,sweet,offended,robin,away,nature,blessèd,stray,bride-bed,true,hare-lip,upon,gait,prodigious,couples,hath,meet,eyes,dance,dance,lovers,break,gone,discretion,every,eyes,epilogue,day,would,would,bless,amends,issue,gone,amends,let,would,bless,day,speak,speak,make,thus,true
52,yet (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liar,,,,,,night,luck,,scape,gentles,restore,serpent,scape,,,gentles,unto,,robin,mended,serpent,yielding,give,scape,,day,peace,think,restore,stay,issue,create,best,blessèd,loving,scar,children,several,despised,three,bed,break,adieu,sing,sing,hath,day,eyes,gone,bless,adieu,lovers,titania,epilogue,epilogue,break,prologue,every,eyes,prologue,epilogue,let,break,tongue,eyes,eyes,amends,true,yet
53,know (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,call,,,,,,unto,scape,,serpent,reprehend,,tongue,serpent,,,reprehend,give,,restore,slumber,tongue,dream,hands,serpent,,_exeunt,owner,mended,,meet,stand,fortunate,bride-bed,create,blots,mark,field-dew,chamber,nativity,true,heavy,day,epilogue,three,nature,bed,dream,adieu,eyes,break,would,bed,tongue,heavy,heavy,day,discretion,bless,adieu,discretion,like,epilogue,day,make,adieu,adieu,philostrate,yet,take
54,take (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,give,serpent,,tongue,pardon,,make,tongue,,,pardon,hands,,,visions,make,gentles,friends,tongue,,train._,blest,slumber,,break,never,couples,blessèd,fortunate,nature,prodigious,consecrate,bless,upon,loving,whilst,_exeunt,lovers,true,issue,heavy,pardon,would,adieu,day,epilogue,heavy,make,whilst,whilst,tongue,speak,break,would,speak,sprite,like,tongue,amends,would,would,prologue,take,know
55,away (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,night,,,,,,hands,tongue,,make,mend,,ere,make,,,mend,friends,,,appear,ere,reprehend,robin,make,,shadows,safety,visions,,day,mole,three,create,couples,issue,despised,take,palace,children,blots,time,train._,hath,loving,stand,whilst,mend,epilogue,would,dream,lovers,whilst,amends,sprite,time,make,gone,day,let,must,light,sprite,make,philostrate,epilogue,epilogue,discretion,know,thus
56,mine (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unto,,,,,,friends,ere,,ere,honest,,long,ere,,,honest,robin,,,weak,long,pardon,restore,ere,,offended,rest,appear,,_exeunt,hare-lip,true,fortunate,three,stand,nativity,gait,peace,field-dew,nature,sprite,shadows,bed,blots,never,time,honest,lovers,epilogue,tongue,bed,time,prologue,light,like,give,eyes,tongue,epilogue,gone,dance,light,amends,prologue,sprite,sprite,speak,away,away
57,scene (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give,,,,,,robin,long,,long,unearnèd,,else,long,,,unearnèd,restore,,,idle,else,mend,,long,,think,trip,weak,,train._,scar,loving,couples,true,never,upon,several,owner,consecrate,issue,light,offended,heavy,nature,mole,sprite,unearnèd,bed,lovers,make,heavy,sprite,discretion,dance,sprite,friends,adieu,make,bed,eyes,sing,dance,philostrate,discretion,light,light,gone,mine,mine
58,heart (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands,,,,,,restore,else,,else,luck,,liar,else,,,luck,,,,theme,liar,honest,,else,,mended,away,idle,,shadows,mark,blots,three,loving,mole,children,chamber,blest,take,stand,brier,think,whilst,issue,hare-lip,light,luck,heavy,bed,ere,whilst,light,speak,sing,light,amends,would,give,heavy,adieu,issue,sing,prologue,speak,dance,dance,eyes,day,day
59,day (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends,,,,,,,liar,,liar,scape,,call,liar,,,scape,,,,yielding,call,unearnèd,,liar,,slumber,stay,theme,,offended,prodigious,nature,true,blots,hare-lip,field-dew,bless,safety,gait,never,ditty,mended,time,stand,scar,dance,scape,whilst,heavy,long,time,dance,gone,nature,dance,prologue,let,friends,whilst,would,never,issue,discretion,gone,sing,sing,adieu,follow,follow
60,follow (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin,,,,,,,call,,call,serpent,,good,call,,,serpent,,,,dream,good,luck,,call,,visions,meet,yielding,,think,despised,stand,loving,nature,scar,consecrate,palace,rest,several,mole,dance,slumber,sprite,never,mark,sing,serpent,time,whilst,else,sprite,sing,eyes,issue,sing,discretion,epilogue,amends,time,let,bless,never,speak,eyes,issue,issue,epilogue,scene,scene
61,thus (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,,,,,,,good,,good,tongue,,night,good,,,tongue,,,,gentles,unto,scape,,good,,appear,break,dream,,mended,nativity,never,blots,stand,mark,take,peace,trip,chamber,hare-lip,trippingly,visions,light,mole,prodigious,dance._,tongue,one,time,liar,light,create,adieu,stand,issue,speak,bed,prologue,like,epilogue,break,bless,gone,adieu,bless,bless,bed,heart,heart
62,give (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,night,,night,ere,,unto,night,,,ere,,,,reprehend,give,serpent,,unto,,weak,day,gentles,,slumber,upon,mole,nature,never,prodigious,gait,owner,away,bless,scar,first,appear,dance,hare-lip,despised,stray,make,sprite,one,call,dance,fortunate,excuse,never,never,gone,heavy,speak,sprite,bed,day,break,eyes,excuse,break,break,heavy,lovers,give
63,eye (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unto,,unto,long,,give,unto,,,long,,,,pardon,hands,tongue,,give,,idle,_exeunt,reprehend,,visions,children,hare-lip,stand,mole,despised,several,blest,stay,palace,mark,rehearse,weak,trippingly,scar,nativity,best,ere,light,sprite,unto,sing,couples,would,mole,mole,eyes,whilst,gone,light,heavy,dream,day,adieu,epilogue,day,day,whilst,give,eye
64,therefore (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give,,give,else,,hands,give,,,else,,,,mend,friends,ere,,hands,,theme,train._,pardon,,appear,field-dew,scar,never,hare-lip,nativity,chamber,safety,meet,peace,prodigious,song,idle,first,mark,upon,bride-bed,long,ditty,light,give,_song,three,bergomask,hare-lip,hare-lip,excuse,time,eyes,dance,whilst,pardon,dream,excuse,bed,dream,dream,time,eye,lovers
65,hear (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands,,hands,liar,,friends,hands,,,liar,,,,honest,robin,long,,friends,,yielding,shadows,mend,,weak,consecrate,mark,mole,scar,upon,bless,rest,break,owner,despised,rote,theme,rehearse,prodigious,children,blessèd,else,dance,ditty,hands,dance._,true,bed,scar,scar,would,like,excuse,sing,time,mend,reprehend,epilogue,heavy,tongue,tongue,sprite,dead,therefore
66,two (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends,,friends,call,,robin,friends,,,call,,,,unearnèd,restore,else,,robin,,dream,offended,honest,,idle,take,prodigious,hare-lip,mark,children,palace,trip,day,blest,nativity,word,yielding,song,despised,field-dew,create,liar,trippingly,dance,friends,stray,loving,heavy,mark,mark,bergomask,sprite,bergomask,three,like,honest,pardon,bed,whilst,make,make,light,therefore,hear
67,part (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin,,robin,good,,restore,robin,,,good,,,,luck,,liar,,restore,,gentles,think,unearnèd,,theme,gait,despised,scar,prodigious,field-dew,peace,away,_exeunt,safety,upon,warbling,dream,rote,nativity,consecrate,fortunate,call,first,trippingly,robin,best,blots,whilst,prodigious,prodigious,let,light,let,true,sprite,unearnèd,mend,heavy,time,give,give,dance,hear,two
68,lovers (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,,restore,night,,,restore,,,night,,,,scape,,call,,,,reprehend,mended,luck,,yielding,several,nativity,mark,despised,consecrate,owner,stay,train._,rest,children,note,gentles,word,upon,take,couples,unto,rehearse,first,restore,bride-bed,nature,time,despised,despised,bed,dance,bed,loving,light,luck,honest,whilst,sprite,friends,friends,sing,two,part
69,fear (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unto,,,,,,unto,,,,serpent,,good,,,,pardon,slumber,scape,,dream,chamber,upon,prodigious,nativity,take,blest,meet,shadows,trip,field-dew,grace,reprehend,warbling,children,gait,three,give,song,rehearse,,blessèd,issue,like,nativity,nativity,heavy,word,heavy,blots,dance,scape,unearnèd,time,light,robin,amends,issue,part,fear
70,egeus (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give,,,,,,give,,,,tongue,,unto,,,,mend,visions,serpent,,gentles,bless,children,despised,upon,gait,safety,break,offended,away,consecrate,place,pardon,note,field-dew,several,true,hands,rote,song,,create,stand,drowsy,upon,upon,whilst,warbling,whilst,nature,grace,serpent,luck,sprite,dance,restore,philostrate,mole,gone,gone
71,meet (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands,,,,,,hands,,,,ere,,give,,,,honest,appear,tongue,,reprehend,palace,field-dew,nativity,children,several,rest,day,think,stay,take,_song,mend,grace,consecrate,chamber,loving,friends,word,rote,,fortunate,never,fire,children,children,time,note,time,issue,sing,tongue,scape,light,sing,amends,show,hare-lip,fear,meet
72,comes (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends,,,,,,friends,,,,long,,hands,,,,unearnèd,weak,ere,,pardon,peace,consecrate,upon,field-dew,chamber,trip,_exeunt,mended,meet,gait,dance._,honest,place,take,bless,blots,robin,warbling,word,,couples,mole,elf,field-dew,field-dew,like,grace,like,stand,place,make,serpent,dance,stray,,dear,scar,meet,egeus
73,gone (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin,,,,,,robin,,,,else,,friends,,,,luck,idle,long,,mend,owner,take,children,consecrate,bless,away,train._,slumber,break,several,stray,unearnèd,_song,gait,palace,nature,restore,note,warbling,,three,hare-lip,sprite,consecrate,consecrate,dust,sing,broom,never,_song,ere,tongue,sing,best,,gone,mark,egeus,comes
74,queen (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,,,,,,restore,,,,liar,,robin,,,,scape,theme,else,,honest,blest,gait,field-dew,take,palace,stay,shadows,visions,day,chamber,best,luck,dance._,several,peace,stand,,grace,note,,true,scar,hop,take,take,behind,place,sweep,mole,dance._,long,make,place,bride-bed,,excuse,prodigious,sleep,dead
75,athenian (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,call,,restore,,,,serpent,yielding,liar,,unearnèd,safety,several,consecrate,gait,peace,meet,offended,appear,_exeunt,bless,bride-bed,scape,stray,chamber,owner,never,,place,grace,,loving,mark,bird,gait,gait,door,_song,dust,hare-lip,stray,else,ere,_song,blessèd,,bergomask,despised,die,sleep
76,_exit (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,tongue,dream,call,,luck,rest,chamber,take,several,owner,break,think,weak,train._,palace,blessèd,serpent,best,bless,blest,mole,,_song,place,,blots,prodigious,brier,several,several,train,dance._,behind,scar,best,liar,long,dance._,create,,bed,nativity,comes,queen
77,hast (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unto,,,,,,ere,gentles,good,,scape,trip,bless,gait,chamber,blest,day,mended,idle,shadows,peace,create,tongue,bride-bed,palace,safety,hare-lip,,dance._,_song,,nature,despised,ditty,chamber,chamber,glimmering,stray,door,mark,bride-bed,call,else,stray,fortunate,,heavy,upon,moonshine,athenian
78,things (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give,,,,,,long,reprehend,unto,,serpent,away,palace,several,bless,safety,_exeunt,slumber,theme,offended,owner,fortunate,make,blessèd,peace,rest,scar,,stray,dance._,,stand,nativity,trippingly,bless,bless,drowsy,best,train,prodigious,blessèd,unto,liar,best,couples,,whilst,children,every,_exit
79,gentle (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands,,,,,,else,pardon,give,,tongue,stay,peace,chamber,palace,rest,train._,visions,yielding,think,blest,couples,ere,create,owner,trip,mark,,best,stray,,never,upon,first,palace,palace,fire,bride-bed,glimmering,despised,create,give,call,bride-bed,three,,shroud,field-dew,ever,things
80,art (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends,,,,,,liar,mend,hands,,ere,meet,owner,bless,peace,trip,shadows,appear,dream,mended,safety,three,long,fortunate,blest,away,prodigious,,bride-bed,best,,mole,children,rehearse,peace,peace,elf,blessèd,drowsy,nativity,fortunate,hands,unto,blessèd,true,,time,consecrate,queen,hast
81,tell (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin,,,,,,call,honest,friends,,long,break,blest,palace,owner,away,offended,weak,gentles,slumber,rest,true,else,couples,safety,stay,despised,,blessèd,bride-bed,,hare-lip,field-dew,song,owner,owner,sprite,create,fire,upon,couples,friends,give,create,loving,,graves,take,athenian,art
82,sleep (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,,,,,,good,unearnèd,robin,,else,day,safety,peace,blest,stay,think,idle,reprehend,visions,trip,loving,liar,three,rest,meet,nativity,,create,blessèd,,scar,consecrate,rote,blest,blest,hop,fortunate,elf,children,three,robin,hands,fortunate,blots,,gaping,gait,_exit,gentle
83,dream (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unto,luck,restore,,liar,_exeunt,rest,owner,safety,meet,mended,theme,pardon,appear,away,blots,call,true,trip,break,upon,,fortunate,create,,mark,take,word,safety,safety,bird,couples,sprite,field-dew,true,restore,friends,couples,nature,,wide,several,things,tell
84,another (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give,scape,,,call,train._,trip,blest,rest,break,slumber,yielding,mend,weak,stay,nature,good,loving,away,day,children,,couples,fortunate,,prodigious,gait,warbling,rest,rest,brier,three,hop,consecrate,loving,,robin,three,stand,,lets,chamber,hast,every
85,flute (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands,serpent,,,good,shadows,away,safety,trip,day,visions,dream,honest,idle,meet,stand,unto,blots,stay,_exeunt,field-dew,,three,couples,,despised,several,note,trip,trip,ditty,true,bird,take,blots,,restore,true,mole,,forth,bless,art,ever
86,snout (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends,tongue,,,unto,offended,stay,rest,away,_exeunt,appear,gentles,unearnèd,theme,break,never,give,nature,meet,train._,consecrate,,true,three,,nativity,chamber,grace,away,away,trippingly,loving,brier,gait,nature,,,loving,hare-lip,,church-way,palace,gentle,think
87,leave (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin,ere,,,give,think,meet,trip,stay,train._,weak,reprehend,luck,yielding,day,mole,hands,stand,break,shadows,take,,loving,true,,upon,bless,place,stay,stay,first,blots,ditty,several,stand,,,blots,scar,,paths,peace,tell,dream
88,ever (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,long,,,hands,mended,break,away,meet,shadows,idle,pardon,scape,dream,_exeunt,hare-lip,friends,never,day,offended,gait,,blots,loving,,children,palace,_song,meet,meet,rehearse,nature,trippingly,chamber,never,,,nature,mark,,glide,owner,think,another
89,every (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,else,,,friends,slumber,day,stay,break,offended,theme,mend,serpent,gentles,train._,scar,robin,mole,_exeunt,think,several,,nature,blots,,field-dew,peace,dance._,break,break,song,stand,first,bless,mole,,,stand,prodigious,,fairies,blest,dream,flute
90,dear (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liar,,,robin,visions,_exeunt,meet,day,think,yielding,honest,tongue,reprehend,shadows,mark,restore,hare-lip,train._,mended,chamber,,stand,nature,,consecrate,owner,stray,day,day,rote,never,rehearse,palace,hare-lip,,,mole,despised,,run,safety,tongue,snout
91,think (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,call,,,restore,appear,train._,break,_exeunt,mended,dream,unearnèd,ere,pardon,offended,prodigious,,scar,shadows,slumber,bless,,never,stand,,take,blest,best,_exeunt,_exeunt,word,mole,song,peace,scar,,,hare-lip,nativity,,triple,rest,another,leave
92,duke (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,weak,shadows,_exeunt,train._,slumber,gentles,luck,long,mend,think,despised,,mark,offended,visions,palace,,mole,never,,gait,safety,bride-bed,train._,train._,warbling,hare-lip,rote,owner,mark,,,scar,upon,,hecate,trip,flute,dear
93,father (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unto,,,,idle,offended,train._,shadows,visions,reprehend,scape,else,honest,mended,nativity,,prodigious,think,appear,peace,,hare-lip,mole,,several,rest,blessèd,shadows,shadows,note,scar,word,blest,prodigious,,,mark,children,,team,away,snout,moonshine
94,made (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,give,,,,theme,think,shadows,offended,appear,pardon,serpent,liar,unearnèd,slumber,upon,,despised,mended,weak,owner,,scar,hare-lip,,chamber,trip,create,offended,offended,grace,mark,warbling,safety,despised,,,prodigious,field-dew,,presence,stay,leave,tongue
95,life (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands,,,,yielding,mended,offended,think,weak,mend,tongue,call,luck,visions,children,,nativity,slumber,idle,blest,,mark,scar,,bless,away,fortunate,think,think,place,prodigious,note,rest,nativity,,,despised,consecrate,,sun,meet,dear,die
96,stay (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,friends,,,,dream,slumber,think,mended,idle,honest,ere,good,scape,appear,field-dew,,upon,visions,theme,safety,,prodigious,mark,,palace,stay,couples,mended,mended,_song,despised,grace,trip,upon,,,nativity,take,,following,break,rest,rest
97,tongue (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robin,,,,gentles,visions,mended,slumber,theme,unearnèd,long,unto,serpent,weak,consecrate,,children,appear,yielding,rest,,despised,prodigious,,peace,meet,three,slumber,slumber,dance._,nativity,place,away,children,,,upon,gait,,darkness,day,stay,stay
98,rest (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restore,,,,reprehend,appear,slumber,visions,yielding,luck,else,give,tongue,idle,take,,field-dew,weak,dream,trip,,nativity,despised,,owner,break,true,visions,visions,stray,upon,_song,stay,field-dew,,,children,several,,frolic,_exeunt,duke,duke
99,name (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pardon,weak,visions,appear,dream,scape,liar,hands,ere,theme,gait,,consecrate,idle,gentles,away,,upon,nativity,,blest,day,loving,appear,appear,best,children,dance._,meet,consecrate,,,field-dew,chamber,,mouse,train._,made,made
100,dead (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mend,idle,appear,weak,gentles,serpent,call,friends,long,yielding,several,,take,theme,reprehend,stay,,children,upon,,safety,_exeunt,blots,weak,weak,bride-bed,field-dew,stray,break,take,,,consecrate,bless,,disturb,shadows,name,name
101,near (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,honest,theme,weak,idle,reprehend,tongue,good,robin,else,dream,chamber,,gait,yielding,pardon,meet,,field-dew,children,,rest,train._,nature,idle,idle,blessèd,consecrate,best,day,gait,,,take,palace,,hallow,offended,father,father
102,fairies (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unearnèd,yielding,idle,theme,pardon,ere,unto,restore,liar,gentles,palace,,several,dream,mend,_exeunt,,consecrate,field-dew,,trip,shadows,stand,theme,theme,create,take,bride-bed,_exeunt,several,,,gait,peace,,sent,think,life,life
103,mustardseed (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luck,dream,theme,yielding,mend,long,give,,call,reprehend,peace,,chamber,gentles,honest,train._,,take,consecrate,,away,offended,never,yielding,yielding,fortunate,gait,blessèd,train._,chamber,,,several,owner,,broom,mended,ere,ere
